;3K引擎盛大挂过滤配置文件
;物品类型	物品名称	极品显示	自动捡取	显示名称
7	蜡烛	0	0	0
1	白日门诅咒术	0	0	0
1	鸡肉	0	0	0
2	干肉	0	0	0
2	金创药	0	0	0
2	魔法药	0	0	0
2	金创药(中量)	0	0	0
2	魔法药(中量)	0	0	0
2	强效金创药	0	0	0
2	强效魔法药	0	0	0
1	金创药(小)包	0	0	0
1	魔法药(小)包	0	0	0
1	金创药(中)包	0	0	0
1	魔法药(中)包	0	0	0
1	超级金创药	0	0	0
1	超级魔法药	0	0	0
2	太阳水	0	0	0
2	强效太阳水	0	0	0
2	万年雪霜	0	0	0
2	疗伤药	0	0	0
1	强效太阳水包	0	0	0
1	万年雪霜包	0	0	0
1	疗伤药包	0	0	0
2	大补鸡	0	0	0
1	十全大补鸡	0	0	0
1	滋补鸡汤	0	0	0
1	地牢逃脱卷	0	0	0
1	随机传送卷	0	0	0
1	行会回城卷	0	0	0
1	回城卷	0	0	0
1	地牢逃脱卷包	0	0	0
1	随机传送卷包	0	0	0
1	行会回城卷包	0	0	0
1	回城卷包	0	0	0
1	声望卷	0	0	0
1	高级声望卷	0	0	0
1	祝福油	0	0	0
1	彩票	0	0	0
1	食人树叶	0	0	0
1	毒蜘蛛牙齿	0	0	0
1	食人树的果实	0	0	0
1	蝎子的尾巴	0	0	0
1	蛆卵	0	0	0
1	沃玛号角	0	0	0
1	祖玛头像	0	0	0
1	金条	0	0	0
1	金砖	0	0	0
2	护身符	0	0	0
2	护身符(大)	0	0	0
2	超级护身符	0	0	0
2	灰色药粉(少量)	0	0	0
2	黄色药粉(少量)	0	0	0
2	灰色药粉(中量)	0	0	0
2	黄色药粉(中量)	0	0	0
2	灰色药粉(大量)	0	0	0
2	黄色药粉(大量)	0	0	0
2	超级灰色药粉	0	0	0
2	超级黄色药粉	0	0	0
1	铜矿	0	0	0
1	铁矿	0	0	0
1	银矿	0	0	0
1	金矿	0	0	0
1	黑铁矿石	0	0	0
1	超级攻击力药水	0	0	0
1	超级魔法力药水	0	0	0
1	超级道术力药水	0	0	0
1	超级疾风药水	0	0	0
1	超级HP强化水	0	0	0
1	超级MP强化水	0	0	0
1	打捆护身符	0	0	0
1	强效攻击力药水	0	0	0
1	强效魔法力药水	0	0	0
1	强效道术力药水	0	0	0
1	强效HP强化水	0	0	0
1	装备捆绑证	0	0	0
1	火球术	0	0	0
1	治愈术	0	0	0
1	基本剑术	0	0	0
1	精神力战法	0	0	0
1	抗拒火环	0	0	0
1	诱惑之光	0	0	0
1	施毒术	0	0	0
1	地狱火	0	0	0
1	雷电术	0	0	0
1	灵魂火符	0	0	0
1	大火球	0	0	0
1	攻杀剑术	0	0	0
1	召唤骷髅	0	0	0
1	瞬息移动	0	0	0
1	隐身术	0	0	0
1	集体隐身术	0	0	0
1	幽灵盾	0	0	0
1	爆裂火焰	0	0	0
1	火墙	0	0	0
1	神圣战甲术	0	0	0
1	刺杀剑术	0	0	0
1	疾光电影	0	0	0
1	心灵启示	0	0	0
1	困魔咒	0	0	0
1	半月弯刀	0	0	0
1	地狱雷光	0	0	0
1	野蛮冲撞	0	0	0
1	魔法盾	0	0	0
1	圣言术	0	0	0
1	群体治疗术	0	0	0
1	烈火剑法	0	0	0
1	召唤神兽	0	0	0
1	冰咆哮	0	0	0
1	流星火雨	0	0	0
1	噬血术	0	0	0
1	逐日剑法	0	0	0
1	英雄流星火雨	0	0	0
1	英雄噬血术	0	0	0
1	英雄逐日剑法	0	0	0
1	召唤月灵	0	0	0
1	分身术	0	0	0
1	护体神盾	0	0	0
1	彻地钉	0	0	0
1	白日门龙影剑	0	0	0
1	护体神盾(主)	0	0	0
1	召唤月灵(主)	0	0	0
1	龙影剑法	0	0	0
1	开天斩(主)	0	0	0
1	白日门火球术	0	0	0
1	白日门治愈术	0	0	0
1	白日门剑术	0	0	0
1	白日门战法	0	0	0
1	白日门抗拒	0	0	0
1	白日门诱惑术	0	0	0
1	白日门施毒术	0	0	0
1	白日门地狱火	0	0	0
1	白日门雷电术	0	0	0
1	白日门火符	0	0	0
1	白日门大火球	0	0	0
1	白日门攻杀	0	0	0
1	白日门骷髅术	0	0	0
1	白日门瞬移	0	0	0
1	白日门隐身	0	0	0
1	白日门群隐	0	0	0
1	白日门幽灵盾	0	0	0
1	白日门爆裂	0	0	0
1	白日门火墙	0	0	0
1	白日门战甲术	0	0	0
1	白日门刺杀	0	0	0
1	白日门疾光	0	0	0
1	白日门困魔咒	0	0	0
1	白日门启示	0	0	0
1	白日门半月	0	0	0
1	白日门气功波	0	0	0
1	白日门野蛮	0	0	0
1	白日门雷光	0	0	0
1	白日门魔法盾	0	0	0
1	白日门圣言术	0	0	0
1	白日门烈火	0	0	0
1	白日门群疗	0	0	0
1	白日门神兽术	0	0	0
1	白日门冰咆哮	0	0	0
1	白日门真气	0	0	0
1	白日门寒冰掌	0	0	0
1	白日门灭天火	0	0	0
1	白日门狮子吼	0	0	0
1	破魂斩	0	0	0
1	劈星斩	0	0	0
1	雷霆一击	0	0	0
1	噬魂沼泽	0	0	0
1	末日审判	0	0	0
1	火龙气焰	0	0	0
4	木剑	0	0	0
4	匕首	0	0	0
4	乌木剑	0	0	0
4	青铜剑	0	0	0
4	铁剑	0	0	0
4	短剑	0	0	0
4	鹤嘴锄	0	0	0
4	青铜斧	0	0	0
4	海魂	0	0	0
4	半月	0	0	0
4	八荒	0	0	0
4	凌风	0	0	0
4	破魂	0	0	0
4	斩马刀	0	0	0
4	偃月	0	0	0
4	降魔	0	0	0
4	修罗	0	0	0
4	凝霜	0	0	0
4	炼狱	0	0	0
4	银蛇	0	0	0
4	魔杖	0	0	0
4	井中月	0	0	0
4	无极棍	0	0	0
4	罗刹	0	0	0
4	裁决之杖	0	0	0
4	骨玉权杖	0	0	0
5	力量戒指	0	0	0
4	龙纹剑	0	0	0
4	血饮	0	0	0
4	屠龙	0	0	0
4	嗜魂法杖	0	0	0
4	赤血魔剑	0	0	0
4	倚天剑	0	0	0
4	屠龙刀	0	0	0
1	明教令牌	0	0	0
3	青铜头盔	0	0	0
3	魔法头盔	0	0	0
3	道士头盔	0	0	0
3	骷髅头盔	0	0	0
3	黑铁头盔	0	0	0
3	布衣(男)	0	0	0
3	布衣(女)	0	0	0
3	轻型盔甲(男)	0	0	0
3	轻型盔甲(女)	0	0	0
3	中型盔甲(男)	0	0	0
3	中型盔甲(女)	0	0	0
3	重盔甲(男)	0	0	0
3	重盔甲(女)	0	0	0
3	魔法长袍(男)	0	0	0
3	魔法长袍(女)	0	0	0
3	灵魂战衣(男)	0	0	0
3	灵魂战衣(女)	0	0	0
3	战神盔甲(男)	0	0	0
3	战神盔甲(女)	0	0	0
3	幽灵战衣(男)	0	0	0
3	幽灵战衣(女)	0	0	0
3	恶魔长袍(男)	0	0	0
3	恶魔长袍(女)	0	0	0
5	金项链	0	0	0
5	传统项链	0	0	0
5	白金项链	0	0	0
5	白色虎齿项链	0	0	0
5	躲避手链	0	0	0
5	黑檀项链	0	0	0
5	黄色水晶项链	0	0	0
5	黑色水晶项链	0	0	0
5	琥珀项链	0	0	0
5	魔鬼项链	0	0	0
5	凤凰明珠	0	0	0
5	灯笼项链	0	0	0
5	狂风项链	0	0	0
5	蓝翡翠项链	0	0	0
5	竹笛	0	0	0
5	放大镜	0	0	0
5	生命项链	0	0	0
5	天珠项链	0	0	0
5	幽灵项链	0	0	0
5	绿色项链	0	0	0
5	恶魔铃铛	0	0	0
5	灵魂项链	0	0	0
5	铁手镯	0	0	0
5	小手镯	0	0	0
5	银手镯	0	0	0
5	皮制手套	0	0	0
5	钢手镯	0	0	0
5	大手镯	0	0	0
5	夏普儿手镯	0	0	0
5	坚固手套	0	0	0
5	魔法手镯	0	0	0
5	黑檀手镯	0	0	0
5	道士手镯	0	0	0
5	避邪手镯	0	0	0
5	魔力手镯	0	0	0
5	死神手套	0	0	0
5	金手镯	0	0	0
5	思贝儿手镯	0	0	0
5	心灵手镯	0	0	0
5	幽灵手套	0	0	0
5	骑士手镯	0	0	0
5	三眼手镯	0	0	0
5	阎罗手套	0	0	0
5	龙之手镯	0	0	0
5	古铜戒指	0	0	0
5	六角戒指	0	0	0
5	玻璃戒指	0	0	0
5	牛角戒指	0	0	0
5	生铁戒指	0	0	0
5	蓝色水晶戒指	0	0	0
5	狂风戒指	0	0	0
5	金戒指	0	0	0
5	黑色水晶戒指	0	0	0
5	蛇眼戒指	0	0	0
5	珍珠戒指	0	0	0
5	魅力戒指	0	0	0
5	道德戒指	0	0	0
5	降妖除魔戒指	0	0	0
5	珊瑚戒指	0	0	0
5	骷髅戒指	0	0	0
5	红宝石戒指	0	0	0
5	铂金戒指	0	0	0
5	龙之戒指	0	0	0
5	力量戒指	0	0	0
5	紫碧螺	0	0	0
5	泰坦戒指	0	0	0
5	求婚戒指	0	0	0
5	隐身戒指	0	0	0
5	传送戒指	0	0	0
5	麻痹戒指	0	0	0
5	复活戒指	0	0	0
5	火焰戒指	0	0	0
5	防御戒指	0	0	0
5	护身戒指	0	0	0
5	超负载戒指	0	0	0
5	探测项链	0	0	0
5	技巧项链	0	0	0
5	记忆戒指	0	0	0
5	记忆项链	0	0	0
5	记忆手镯	0	0	0
3	记忆头盔	0	0	0
5	魔血戒指	0	0	0
5	魔血手镯	0	0	0
5	魔血项链	0	0	0
5	虹魔戒指	0	0	0
5	虹魔手镯	0	0	0
5	虹魔项链	0	0	0
3	圣战头盔	0	0	0
5	圣战项链	0	0	0
5	圣战手镯	0	0	0
5	圣战戒指	0	0	0
3	法神头盔	0	0	0
5	法神项链	0	0	0
5	法神手镯	0	0	0
5	法神戒指	0	0	0
3	天尊头盔	0	0	0
